#,Chinese,Pinyin,English,Part of Speech,First PoS,Level,Levels
801,起,qǐ,to rise; measure word for events,动 v.; （量 m.w.）,动 v.,3,3（5）
802,起飞,qǐfēi,to take off,动 v.,动 v.,3,3
803,汽车,qìchē,car; automobile; bus,名 n.,名 n.,3,3
804,铅笔,qiānbǐ,pencil; 枝; 桿|杆,名 n.,名 n.,3,3
805,前年,qiánnián,the year before last,名 n.,名 n.,3,3
806,前天,qiántiān,the day before yesterday,名 n.,名 n.,3,3
807,清楚,qīngchu,clear; distinct; to understand thoroughly,形 adj.; 动 v.,形 adj.,3,3
808,请假,qǐngjià,to request leave of absence,动 v.,动 v.,3,3
809,请客,qǐngkè,to treat someone; to invite to dinner,动 v.,动 v.,3,3
810,秋天,qiūtiān,autumn,名 n.,名 n.,3,3
811,球场,qiúchǎng,stadium; sports ground; court,名 n.,名 n.,3,3
812,裙子,qúnzi,skirt,名 n.,名 n.,3,3
813,然后,ránhòu,then; after that; afterwards,连 conj.,连 conj.,3,3
814,热情,rèqíng,cordial; enthusiastic; passion,形 adj.,形 adj.,3,3
815,认得,rènde,to recognize; to know,动 v.,动 v.,3,3
816,认为,rènwéi,to believe; to think; to consider,动 v.,动 v.,3,3
817,认真,rènzhēn,conscientious; earnest; serious,形 adj.,形 adj.,3,3
818,容易,róngyì,easy; straightforward; likely,形 adj.,形 adj.,3,3
819,如果,rúguǒ,if; in case; in the event that,连 conj.,连 conj.,3,3
820,伞,sǎn,umbrella,名 n.,名 n.,3,3
821,扫,sǎo,to sweep,动 v.,动 v.,3,3
822,沙发,shāfā,sofa,名 n.,名 n.,3,3
823,山,shān,mountain; hill,名 n.,名 n.,3,3
824,上衣,shàngyī,jacket; upper outer garment,名 n.,名 n.,3,3
825,勺子,sháozi,spoon,名 n.,名 n.,3,3
826,身边,shēnbiān,at one's side; on hand,名 n.,名 n.,3,3
827,身高,shēngāo,height,名 n.,名 n.,3,3
828,声,shēng,sound; voice; measure word for sounds,名 n.; 量 m.w.,名 n.,3,3
829,生活,shēnghuó,to live; life; livelihood,名 n.; 动 v.,名 n.,3,3
830,生气,shēngqì,to get angry; to take offense; angry,动 v.,动 v.,3,3
831,声音,shēngyīn,voice; sound,名 n.,名 n.,3,3
832,市,shì,market; city,名 n.,名 n.,3,3
833,试,shì,to test; to try; experiment,动 v.,动 v.,3,3
834,室,shì,room; work unit; grave,名 n.,名 n.,3,3
835,世界,shìjiè,world,名 n.,名 n.,3,3
836,收,shōu,to receive; to accept; to collect,动 v.,动 v.,3,3
837,收到,shōudào,to receive,动 v.,动 v.,3,3
838,受,shòu,to receive; to accept; to suffer,动 v.,动 v.,3,3
839,瘦,shòu,thin,形 adj.,形 adj.,3,3
840,受到,shòudào,to receive,动 v.,动 v.,3,3
841,叔叔,shūshu,uncle,名 n.,名 n.,3,3
842,树,shù,tree; to cultivate; to set up,名 n.,名 n.,3,3
843,数学,shùxué,math,名 n.,名 n.,3,3
844,刷,shuā,to brush; to swipe,动 v.,动 v.,3,3
845,双,shuāng,two,量 m.w.,量 m.w.,3,3
846,水平,shuǐpíng,level; standard; horizontal,名 n.,名 n.,3,3
